Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Atlanta,Georgia,Temple,GA,64.645,2465,"33.748444,-84.3876568","33.7369438,-85.03230640000001"
Richmond,VA,Atlanta,Georgia,855.897,28546,"37.5407485,-77.4360246","33.7483341,-84.3876896"
Prosperity,SC,Atlanta,Georgia,336.842,11835,"34.2092405,-81.5332435","33.7483341,-84.3876896"
Pottsville,PA,Atlanta,Georgia,1232.903,42011,"40.68563899999999,-76.1955134","33.7483341,-84.3876896"
Ontario,OH,Atlanta,Georgia,1019.248,33918,"40.7594095,-82.59001030000002","33.7483341,-84.3876896"
Opelika,AL,Atlanta,Georgia,163.597,5556,"32.6454268,-85.3782595","33.7483341,-84.3876896"
Atlanta,Georgia,Winterville,GA,123.978,5009,"33.748444,-84.3876568","33.9671328,-83.27828480000001"
Orangeburg,SC,Atlanta,Georgia,358.312,12620,"33.4918778,-80.8556837","33.7483341,-84.3876896"
Orlando,FL,Atlanta,Georgia,704.532,22378,"28.5383735,-81.3789473","33.7483341,-84.3876896"
Atlanta,Georgia,Warm Springs,GA,115.337,4595,"33.748444,-84.3876568","32.8903994,-84.6810941"
Orlando,KY,Atlanta,Georgia,531.012,17802,"37.37286599999999,-84.2679751","33.7483341,-84.3876896"
Albion,NY,Atlanta,Georgia,1519.127,50546,"43.2464494,-78.1937439","33.7483341,-84.3876896"
Albuquerque,NM,Atlanta,Georgia,2236.732,72628,"35.0843859,-106.650422","33.7483341,-84.3876896"
Olney,IL,Atlanta,Georgia,755.002,26445,"38.7308805,-88.085262","33.7483341,-84.3876896"
Pensacola,FL,Atlanta,Georgia,521.087,17561,"30.4213094,-87.216915","33.7483341,-84.3876896"
Pearl,MS,Atlanta,Georgia,605.363,19778,"32.2662289,-90.13435559999999","33.7483341,-84.3876896"
Phillipsburg,NJ,Atlanta,Georgia,1302.967,44224,"40.6939189,-75.190383","33.7483341,-84.3876896"
Perrysburg,OH,Atlanta,Georgia,1052.875,34755,"41.5572939,-83.6273607","33.7483341,-84.3876896"
Pasadena,TX,Atlanta,Georgia,1267.984,41294,"29.6910542,-95.2092859","33.7483341,-84.3876896"
Paris,IL,Atlanta,Georgia,840.802,29675,"39.6112117,-87.69613799999999","33.7483341,-84.3876896"
Abingdon,VA,Atlanta,Georgia,546.131,17975,"36.709823,-81.9773859","33.7483341,-84.3876896"
Springfield,MO,Atlanta,Georgia,1074.167,37849,"37.208666,-93.2922828","33.7483341,-84.3876896"
Spring Valley,IL,Atlanta,Georgia,1180.106,38775,"41.3275339,-89.1998735","33.7483341,-84.3876896"
Sturtevant,WI,Atlanta,Georgia,1271.041,42499,"42.6979566,-87.8945257","33.7483341,-84.3876896"
Atlanta,Georgia,East Point,GA,11.798,736,"33.748444,-84.3876568","33.6784293,-84.4397646"
Stone Mountain,GA,Atlanta,Georgia,31.771,1647,"33.8081709,-84.17019780000001","33.7483341,-84.3876896"
Social Circle,GA,Atlanta,Georgia,71.547,2611,"33.6560717,-83.7183549","33.7483341,-84.3876896"
Aberdeen,MD,Atlanta,Georgia,1143.313,38807,"39.50950479999999,-76.1641472","33.7483341,-84.3876896"
Aberdeen,ID,Atlanta,Georgia,3182.303,105118,"42.9440961,-112.8383268","33.7483341,-84.3876896"
Terre Haute,IN,Atlanta,Georgia,813.389,28479,"39.4668786,-87.4123888","33.7483341,-84.3876896"
Abilene,KS,Atlanta,Georgia,1527.974,50157,"38.9172215,-97.2139365","33.7483341,-84.3876896"
Atlanta,Georgia,The Rock,GA,111.05,4173,"33.748444,-84.3876568","32.9638753,-84.2411377"
Sussex,WI,Atlanta,Georgia,1335.572,44793,"43.13360429999999,-88.2095289","33.7483341,-84.3876896"
Tampa,FL,Atlanta,Georgia,734.038,23327,"27.9505229,-82.4571556","33.7483341,-84.3876896"
Tunkhannock,PA,Atlanta,Georgia,1357.326,46358,"41.5387215,-75.9466877","33.7483341,-84.3876896"
Tucker,GA,Atlanta,Georgia,31.651,1415,"33.8545869,-84.2173025","33.7483341,-84.3876896"
Union City,GA,Atlanta,Georgia,28.054,1454,"33.586784,-84.54244159999999","33.7483341,-84.3876896"
Atlanta,Georgia,Watkinsville,GA,110.932,4450,"33.748444,-84.3876568","33.8628155,-83.4089233"
Trenton,FL,Atlanta,Georgia,526.824,17296,"29.6133718,-82.8176208","33.7483341,-84.3876896"
Aberdeen,NC,Atlanta,Georgia,552.659,19859,"35.1314023,-79.4295854","33.7483341,-84.3876896"
SAINT GEORGE,UT,Atlanta,Georgia,3081.671,103127,"37.0965282,-113.5685582","33.7483341,-84.3876896"
Addison,IL,Atlanta,Georgia,1179.501,39606,"41.9316936,-87.9889604","33.7483341,-84.3876896"
Adel,GA,Atlanta,Georgia,327.062,10629,"31.1371562,-83.4234151","33.7483341,-84.3876896"
Robert,LA,Atlanta,Georgia,765.911,24523,"30.5057974,-90.3413392","33.7483341,-84.3876896"
Atlanta,Georgia,Senoia,GA,64.513,3173,"33.748444,-84.3876568","33.3023521,-84.5539653"
Rocky Mount,VA,Atlanta,Georgia,650.987,22638,"36.9976643,-79.8919274","33.7483341,-84.3876896"
San Antonio,TX,Atlanta,Georgia,1589.81,51758,"29.4251833,-98.4945944","33.7483341,-84.3876896"
Adams,MA,Atlanta,Georgia,1684.063,57764,"42.6249563,-73.1175035","33.7483341,-84.3876896"
Salina,KS,Atlanta,Georgia,1565.746,51409,"38.8402808,-97.61147070000001","33.7483341,-84.3876896"
Saint Louis,MO,Atlanta,Georgia,891.004,29426,"38.62688869999999,-90.1989143","33.7483341,-84.3876896"
Atlanta,Georgia,Calhoun,GA,110.743,4032,"33.748444,-84.3876568","34.5027877,-84.9510138"
Salt Lake City,UT,Atlanta,Georgia,3017.997,98862,"40.7607343,-111.8910685","33.7483341,-84.3876896"
Memphis,TN,Atlanta,Georgia,629.163,20692,"35.149665,-90.04892799999999","33.7483341,-84.3876896"
Altoona,PA,Atlanta,Georgia,1159.105,40216,"40.5184704,-78.39491799999999","33.7483341,-84.3876896"
Altoona,IA,Atlanta,Georgia,1427.113,48380,"41.6435509,-93.4750088","33.7483341,-84.3876896"
Mesquite,TX,Atlanta,Georgia,1238.497,40392,"32.766801,-96.5991641","33.7483341,-84.3876896"
Medley,FL,Atlanta,Georgia,1067.714,33860,"25.8407595,-80.3264401","33.7483341,-84.3876896"
Milwaukee,WI,Atlanta,Georgia,1307.36,43707,"43.0388982,-87.9065461","33.7483341,-84.3876896"
Minster,OH,Atlanta,Georgia,911.139,30257,"40.3930222,-84.37606079999999","33.7483341,-84.3876896"
Miami Gardens,FL,Atlanta,Georgia,1046.308,33157,"25.942046,-80.245447","33.7483341,-84.3876896"
Miami,FL,Atlanta,Georgia,1066.315,34092,"25.7617059,-80.1918211","33.7483341,-84.3876896"
