Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Dallas,Texas,Ennis,TX,56.322,2226,"32.7759428,-96.7967532","32.3291365,-96.62565260000001"
Effingham,IL,Dallas,Texas,1220.452,40135,"39.1200107,-88.543382","32.7759428,-96.7967532"
Dallas,Texas,Grapevine,TX,36.385,1517,"32.7759428,-96.7967532","32.9343723,-97.0780637"
Dallas,Texas,Roanoke,TX,52.494,1993,"32.7759428,-96.7967532","33.0040714,-97.2258167"
Dallas,Texas,Terrell,TX,52.17,2222,"32.7759428,-96.7967532","32.735957,-96.275207"
Gainesville,GA,Dallas,Texas,1347.723,43945,"34.297884,-83.8240575","32.7759428,-96.7967532"
Franklin Park,IL,Dallas,Texas,1483.492,51135,"41.9348562,-87.8794257","32.7759428,-96.7967532"
Indianapolis,IN,Dallas,Texas,1447.62,47693,"39.767955,-86.158062","32.7759428,-96.7967532"
Charlotte,NC,Dallas,Texas,1652.424,54536,"35.2271328,-80.8431751","32.7759428,-96.7967532"
Dallas,Texas,Rockwall,TX,41.265,1797,"32.7759428,-96.7967532","32.909065,-96.450081"
Cicero,IL,Dallas,Texas,1479.026,50771,"41.845588,-87.7539242","32.7759428,-96.7967532"
Cincinnati,OH,Dallas,Texas,1503.42,49721,"39.1031421,-84.511817","32.7759428,-96.7967532"
Dallas,Texas,Lancaster,TX,28.679,1397,"32.7759428,-96.7967532","32.5921001,-96.7560692"
Joliet,IL,Dallas,Texas,1430.375,48904,"41.5254469,-88.08227029999999","32.7759428,-96.7967532"
Dallas,Texas,Sanger,TX,83.426,3070,"32.7759428,-96.7967532","33.3631725,-97.1738587"
Salt Lake City,UT,Dallas,Texas,2001.275,69060,"40.7607343,-111.8910685","32.7759428,-96.7967532"
Memphis,TN,Dallas,Texas,728.502,24096,"35.149665,-90.04892799999999","32.7759428,-96.7967532"
Linden,NJ,Dallas,Texas,2478.581,82079,"40.622103,-74.24466509999999","32.7759428,-96.7967532"
Dallas,Texas,Cleburne,TX,79.956,3369,"32.7759428,-96.7967532","32.3475428,-97.38665639999999"
Bridgeview,IL,Dallas,Texas,1470.637,50496,"41.7498094,-87.80421129999999","32.7759428,-96.7967532"
Brookhaven,MS,Dallas,Texas,702.082,23690,"31.5791115,-90.440631","32.7759428,-96.7967532"
Piscataway,NJ,Dallas,Texas,2452.586,81273,"40.5542221,-74.4640187","32.7759428,-96.7967532"
Earth City,MO,Dallas,Texas,1017.373,35476,"38.7696617,-90.4669117","32.7759428,-96.7967532"
Plano,IL,Dallas,Texas,1439.973,49581,"41.6627471,-88.53699610000001","32.7759428,-96.7967532"
Dallas,Texas,Keller,TX,52.525,2407,"32.7759428,-96.7967532","32.9342081,-97.22929789999999"
Franklin,IN,Dallas,Texas,1464.896,48621,"39.480562,-86.0549838","32.7759428,-96.7967532"
Dallas,Texas,Waco,TX,155.588,5422,"32.7759428,-96.7967532","31.54942639999999,-97.1467871"
Paw Paw,MI,Dallas,Texas,1707.101,55877,"42.2176779,-85.8911394","32.7759428,-96.7967532"
Riviera Beach,FL,Dallas,Texas,2005.559,65632,"26.7754806,-80.0580903","32.7759428,-96.7967532"
College Park,GA,Dallas,Texas,1266.952,41287,"33.653393,-84.44936659999999","32.7759428,-96.7967532"
