Origin City,Origin State,Destination City,Destination State,Distance (km),Duration (s),Start Coordinates,End Coordinates
Huntsville,AL,Tampa,Florida,1022.854,34975,"34.7303342,-86.5860781","27.9505229,-82.4571556"
Jackson,TN,Tampa,Florida,1327.44,43117,"35.6145058,-88.8136909","27.9505229,-82.4571556"
Athens,AL,Tampa,Florida,1119.196,35986,"34.8028434,-86.9721804","27.9505229,-82.4571556"
Athens,GA,Tampa,Florida,759.645,25733,"33.9516408,-83.357899","27.9505229,-82.4571556"
Indianapolis,IN,Tampa,Florida,1590.952,51890,"39.7679564,-86.1580324","27.9505229,-82.4571556"
Aspers,PA,Tampa,Florida,1583.203,52724,"39.9772287,-77.2250893","27.9505229,-82.4571556"
Hendersonville,NC,Tampa,Florida,984.331,33011,"35.31863269999999,-82.46093189999999","27.9505229,-82.4571556"
High Point,NC,Tampa,Florida,1046.849,35156,"35.9556983,-80.0052711","27.9505229,-82.4571556"
Tampa,Florida,Poinciana,FL,117.442,4624,"27.9505229,-82.4571556","28.1573783,-81.4709357"
High Springs,FL,Tampa,Florida,237.654,7838,"29.8269206,-82.5967749","27.9505229,-82.4571556"
Hialeah Gardens,FL,Tampa,Florida,431.234,13830,"25.8650878,-80.3241494","27.9505229,-82.4571556"
Tampa,Florida,Zellwood,FL,157.412,5672,"27.9505229,-82.4571556","28.731104,-81.6012805"
Tampa,Florida,Ocoee,FL,136.9,4939,"27.9505229,-82.4571556","28.5691649,-81.54409299999999"
Hazlehurst,MS,Tampa,Florida,1137.198,37945,"31.8605654,-90.3959117","27.9505229,-82.4571556"
Tampa,Florida,Wimauma,FL,48.297,2066,"27.9505229,-82.4571556","27.7124638,-82.2982952"
Hazelwood,MO,Tampa,Florida,1647.346,53405,"38.7715622,-90.370826","27.9505229,-82.4571556"
Hebron,KY,Tampa,Florida,1465.993,47576,"39.0661352,-84.70319590000001","27.9505229,-82.4571556"
Hinckley,OH,Tampa,Florida,1724.482,58096,"41.238386,-81.74499349999999","27.9505229,-82.4571556"
Hodgkins,IL,Tampa,Florida,1888.343,61832,"41.7688389,-87.85783169999999","27.9505229,-82.4571556"
Plant City,FL,Tampa,Florida,39.678,1659,"28.0183875,-82.11290180000002","27.9505229,-82.4571556"
Tampa,Florida,Webster,FL,97.682,3545,"27.9505229,-82.4571556","28.6099408,-82.055083"
Piedmont,SC,Tampa,Florida,944.844,30556,"34.7023413,-82.46450899999999","27.9505229,-82.4571556"
Tampa,Florida,Cape Canaveral,FL,206.414,7295,"27.9505229,-82.4571556","28.3920574,-80.60771319999999"
Alachua,FL,Tampa,Florida,231.791,7569,"29.7938445,-82.4944","27.9505229,-82.4571556"
Riceboro,GA,Tampa,Florida,475.653,16636,"31.7366853,-81.4341913","27.9505229,-82.4571556"
Remington,IN,Tampa,Florida,1737.708,56760,"40.7608762,-87.1508523","27.9505229,-82.4571556"
Richmond,KY,Tampa,Florida,1307.301,42394,"37.7479666,-84.29492880000001","27.9505229,-82.4571556"
Powder Springs,GA,Tampa,Florida,767.048,24932,"33.8595614,-84.6838235","27.9505229,-82.4571556"
Opelika,AL,Tampa,Florida,689.933,24113,"32.6454268,-85.3782595","27.9505229,-82.4571556"
Orlando,FL,Tampa,Florida,135.534,4788,"28.5384081,-81.3789262","27.9505229,-82.4571556"
Albany,GA,Tampa,Florida,508.749,17001,"31.5784599,-84.1557426","27.9505229,-82.4571556"
Oxford,FL,Tampa,Florida,126.665,4519,"28.9274973,-82.0373041","27.9505229,-82.4571556"
Albertville,AL,Tampa,Florida,963.748,32252,"34.2676138,-86.20892490000001","27.9505229,-82.4571556"
Paw Paw,MI,Tampa,Florida,1923.441,63145,"42.2176779,-85.8911394","27.9505229,-82.4571556"
